,city,street,number
4747, п. Первомайский, ул. Воронова,14
4748, д. Большой Кельтей, ул. Колхозная,13
4749, с. Красная Горка, ул. Чапаева,66
4750, с. Новый Субай, ул. Лесная,3
4751, с. Красная Горка, ул. Советская,87
4752, д. Новые Казанчи, ул. Гумерова,4
4753, с. Вояды, ул. Новая,11
4754, с. Аскино, ул. Октябрьская,6
4755, д. Карткисяк, ул. Центральная,12
4756, д. Кунгак, ул. Молодежная,4
4757, с. Кочневское, ул. Свердлова,10
4758, д. Большое Волково, ул. Центральная,43
4759, д. Орловка, ул. Центральная,29
4760, д. Кшлау-Елга, ул. Школьная,1
4761, д. Петропавловка, ул.Мира,5
4762, д. Султанбеково, ул. Центральная,33
4763, г. Покров, ул. 3 Интернационала,3 Интернационала
4764, г. Костерево, ул. Вокзальная,5А
4765, с. Кигазы, ул. Центральная,8
4766, с.Ключи, ул. Школьная,1
4767, с.Резяпово, ул.Дюртюли,22
4768, г. Йошкар-Ола, ул. Кремлевская,22
4769, с. Кошай, ул. Ворошилова,50
4770, с.Тузлукушево, ул.Молодежная,18
4771, д. Башкирская Ургинка, ул. Молодежная,4
4772, с. Старые Камышлы, ул. Центральная,63
4774, д. Сорокино, ул. Лесная,1
4775, д. Ахметово, ул. Ахмалетдинова,49
4776, д. Старобаскаково, ул. Школьная,7
4777, село Богородск, ул. Михайлова,16
4778, поселок Дачный, улица Центральная,12 а
4779, г. Советская Гавань, ул. Набережная,33
4780, д.Шабаево, ул.Султанова,74
4781, п. Якша, ул. Школьная,30
4782, г. Рославль, ул. Советская,94А
4783, д. Карайганово, ул. А.Кутушева,30
4784, г .Кохма, ул .Советская,23
4785, г. Углегорск, ул. Приморская,35
4786, д. Усть-Табаска, ул. Гагарина,29
4787, д. Чурашево, ул. Центральная,5
4788, д. Куяштыр, ул. Крестьянская,6
4789, д. Верхнеарметово, ул. Советская,87
4790, с. Ежево, ул. Школьная,2
4791, с. Верхний Баксан, ул. Школьная,2
4792, с. Хушто-Сырт, ул. Балкарская,35
4793, с. Лашкута, ул. Мира,18
4794, д. Байтеряково, ул. Молодежная,3
4795, д. Средний Постол, ул. Садовая,3А
4796, д. Караклы, ул. Молодежная,12
4797, г. Меленки, ул. Союз Республик,63
4798, село Воробьевка, площадь Свободы,1
4799, ж дробь д_ст Леонидовка, ул. Южная,78
4800, ст-ца Гиагинская, ул. Боевая,3
4801, с. Смольки, Дорожная ул.,21
4802, г. Медвежьегорск, ул. Карла Либкнехта,2
4803, г. Майкоп, ул. Краснооктябрьская,48
4804, г. Биробиджан, ул. Пионерская,28
4805, пгт. Смышляевка, ул. Пионерская,2А
4806, с.Арбашево, ул.Центральная,9 дробь 1
4807, поселок Торфяной, Профсоюзная улица,15А
4808, с. Староякупово, ул. Школьная,19
4809, с. Серафимовский, 18 кв-л,18 кв-л
4810, г. Саранск, ул. Энергетическая,6А
4811, г. Саранск, ул. Пржевальского,27
4812, с. Тюли, пер. Дружбы,3
4813, д. Белогорье, ул. Мира,12
4814, г. Отрадный, ул. Ленина,62а
4815, с. Покровка, ул. Содовая,19
4816, с. Красный Восход, ул. Молодежная,4
4817, с. Коверино, ул. Фрунзе,
4818, село Кочкурово, улица Советская,70
4819, рп. Чамзинка, ул. Ленина,12
4820, г. Георгиевск, ул. Лермонтова,65
4821, с. Гагино, ул. Ленина,53
4822, г. Майкоп, ул. Краснооктябрьская,25
4823, с. Колчедан, ул. Ленина,29
4824, г. Красноуральск, ул. Челюскинцев,14
4825, г. Нальчик, ул. Суворова,350
4826, п. Каменномостский, ул. Мира,48
4827, с. Лопатино, ул. Братьев Глубоковых,2
4828, с. Вальдиватское, ул. Новая,2
4829, с. Тыгиш, ул. Юбилейная,99
4830, с. Чукреевское, ул. Трактористов,2
4831, г. Углегорск, ул. Железнодорожная,9-Б
4832, с. Мильково ул. Советская, с. Мильково ул. Советская,82
4833, пгт. Затеречный, ул. Школьная,2Г
4834, с. Яган-Докъя, ул. Трактовая,5А
4835, с. Чутырь, ул. Совхозная,26
4836, с. Уральский, ул. Железнодорожная,1А
4837, с. Ватажное, ул. Первомайская,11
4838, село Кожмудор, ул. Центральная,52
4839, пгт. Терней, ул. Партизанская,108
4840, г. Арсеньев, ул. Клиновая,1А
4841, с. Новое, ул. Шоссейная 46,46
4842, г. Владивосток, ул. Лазо,4
4843, г. Большой Камень, ул. Школьная,1
4844, г. Фокино, ул. Постникова,18
4845, с. Лукьяновка, ул. Центральная,5
4846, с. Новокрещенка, ул. Советская,4
4847, с. Вострецово, пер. Пионерский,4
4848, с. Беневское, ул. Центральная,46
4849, с. Покровка, ул. Октябрьская,10
4850, пгт. Липовцы, ул. Ушинского,9
4851, пгт. Ярославский, ул. Ленинская,7
4852, с. Палевицы, ул. Советская,1
4853, с. Новое, ул. Шоссейная,48
4854, п. Березовка, ул. Лесная,34
4855, п. Досанг, ул. Железнодорожная,14
4856, с. Деревянск, ул. Подгорная,12
4857, д. Кварса, ул. Советская,25
4858, с. Октябрьский, ул. Наговицына,3
4859, г. Печора, Печорский проспект,17
4860, с. Кыйлуд, пер. Центральный,3
4861, д. Арзамасцево, ул. Ленина,2 
4862, г. Сосногорск, ул. Школьная,32
4863, с. Объячево, ул. Мира,82
4864, г. Вуктыл, ул. Комсомольская,24
4865, пгт. Войвож, ул. Кирова,5
4866, с. Аликово, ул. Гагарина,40
4867, с. Порецкое, ул. Коминтерна,6
4868, с. Яльчики, ул. Октябрьская,12
4869, с. Янтиково, ул. Чапаева,4
4870, с. Хыркасы, ул. Ресторанная,2
4871, поселок городского типа Березово, улица Астраханцева,54 (здание Администрации)
4872, п. Ёдва, ул. Комсомольская,2
4873, х. Мамацев, ул. Краснооктябрьская,28 дробь 2
4874, г. Мелеуз, Первомайская улица,
4875, с. Ялгыз-Нарат, ул. Центральная,2а
4876, село Усть-Уса, ул. Пушкина,13
4877, с. Шарлык, ул. Советская,5
4878, с. Черемушки, ул. Заводская,1
4879, с. Починки, ул. Заречная,24
4880, с. Юмашево, ул. Советская,10
4881, с. Разномойка, ул. Советская,32
4882, г.Екатеринбург, пр. Ленина,89
4883, рп. Сокольское, ул. Центральная,1
4884, с. Асекеево, ул. Набережная,13
4885, п. Победа, ул. Сеннореченская,78
4886, с. Надеждинка, переулок Школьный,1
4887, поселок Яснэг, ул. Ленина,13
4888, с. Шошка, м. Педегрезд,11
4889, поселок Нювчим, ул. Первомайская,12
4890, с. Слудка, ул. Магистральная,23
4891, поселок Вожский, Административный переулок,1
4892, село Чёрныш, ул. Центральная,59
4893, село Гурьевка, ул. Школьная,9
4894, село Мохча, ул. Центральная,132
4895, п. Синегорье, ул. Комсомольская,5
4896, ст-ца Платовка, ул. Московская,6.
4897, г. Сосногорск, ул. Первомайская,1А
4898, с. Репьевка, пер. Школьный,23
4899, с. Николо-Березовка, ул. Дорожная,28
4900, г. Амурск, пр-кт Комсомольский,7а
4901, с. Кувыково, ул. Горная,18
4902, с. Султанаево, ул. Школьная,
4903, с. Кальтовка, ул. Парковая,20
4904, с. Владимировка, пер. Быстроновского,1
4905, д. Уршады, ул. Школьная,7
4906, с. Старые Казанчи, ул. Школьная,10.
4907, с. Урмиязы, ул. Трактовая,6
4908, аул Хакуринохабль, ул. Чапаева,29
4909, аул Кошехабль, ул. Совмена,38
4910, пгт. Энем, ул. Седина,59
4911, г. Адыгейск, ул. Нехая,2
4912, с. Степное, ул. Садовая,81
4913, г. Сыктывкар, ул. Домны Каликовой,19
4914, село Айкино, ул. Центральная,126
4915, г. Сурск, ул. Карла Маркса,1
4916, с. Чулпан, пер. Школьный,3
4917, с. Аскино, ул. Ленина,4
4918, с. Бураево, ул. М. Гафури,4
4919, с. Верхние Татышлы, ул. Механизаторов,39
4920, с. Караидель, ул. Октябрьская,5
4921, с. Мишкино, ул. Революционная,14
4922, п. Полевой, ул. Комсомольская,1
4923,  с. Потьма, ул. Промысловая,4
4924, с.Софийск, ул. Центральная,12
4925, с. Арка, ул. Колхозная,8
4926, с. Алабердино, ул. Школьная,3.
4927, п. Новый, ул. Центральная,15
4928, д. Кадырово, ул. Центральная,34
4929, с. Старокиргизово, ул. Новая,13
4930, с. Сюльтино, ул. Центральная,5
4931, с. Нижнечерекулево, ул. Советская,30
4932, с. Ябалаково, ул. Т.Назмиева,30
4933, д. Новая Бура, ул. Колхозная,8а
4934, с. Музяк, ул. Центральная,51
4935, д. Новый Янзигит, ул. Дорожная,20
4936, село Мутница, ул. Дуговая,22
4937, п. Кривцы,,
4938, с. Чеганлы, ул. Тукаевская,11.
4939, с. Надеждино, ул. Центральная,52
4940, п. Новосельский, ул. Школьная,6.
4941, деревня Сокатово, ул. Спортивная,2
4942, село Татарская Пишля, улица 40 лет Победы,40 лет Победы
4943, пгт. Южно-Курильск, пл. Ленина,1
4944, поселок городского типа Юрья, улица Ленина,2
4945, г. Ясный, ул. Свердлова,10
4946, с. Иткинеево, ул. Куйбышева,8
4947, поселок Визиндор, ул. Комсомольская,3А
4948, г Гагарин, Пионерский пер,18
4949, село Новый, ул. 1 Мая,1 Мая
4950, с. Месягутово, ул. Мира,12
4951, Деревня Канахинцы, ул. Административная,4
4952, с. Старый Варяш, ул. Центральная,13
4953, с. Сусады-Эбалак, пл. Комсомольская,2
4954, село Спас-Талица, Советская улица,12
4955, с. Шарлык, ул. Родимцева,4
4956, с. Ветлянка, ул. Школьная,32
4957, с. Грачевка, ул. Юбилейная,3
4958, г. Кувандык, просп. Мира,24 А
4959, с. Беляевка, ул. Комсомольская,37 А
4960, с. Курманаевка, ул. Суворова,4
4961, с. Ташла, ул. Довженко,34
4962, п. Переволоцкий, ул. Молодежная,8
4963, п. Новоорск, ул. Рабочая,2
4964, с. Тоцкое, ул. Терешковой,5
4965, п. Саракташ, ул. Первомайская,97
4966, п. Тюльган, ул. М. Горького,11
4967, с. Нижняя Павловка, ул. Школьная,21
4968, с. Илек, ул. Пионерская,49
4969, с. Александровка, ул. Мичурина,24
4970, аул Хакуринохабль, ул. Шовгенова,5
4971, село Петропавловка, улица Терешковой,8
4972, село Баргузин, улица Дзержинского,26
4973, с. Батурино, ул. Советская,18
4974, г. Бугуруслан, ул. Чапаевская,42
4975, п. Пригородный, ул. Школьная,1
4976, с. Матвеевка, ул. Братьев Свиридовых,38 А
4977, с. Октябрьское, ул. Лесная,2
4978,  с. Плесс, ул. Садовая,4
4979, с. Часово, ул. Школьная,8
4980, п. Бабино, ул. 8 Марта,8 Марта
4981, пгт. Кировский, ул. Г агарина,24
4982, с. Зеленое, ул. Гагарина,4
4983, п. Светлогорск, ул. Ленина,4
4984, с. Степановка, ул. Советская,31.
4985, с. Чугуевка, ул. Комарова,50А
4986, д. Ваныш-Алпаутово, ул. Молодежная,7
4987, с. Сосновка, ул. Асфальтная,9
4988, с. им П.Осипенко , ул. Строителей,33
4989, с.Казаяк, ул.Советская,
4990, г. Майкоп, ул. Титова,42
4991, г. Новоуральск, ул. Фурманова 7,7
4992, пгт. Языково, ул. Цветкова,14
4993, г. Томск, ул. Суворова,5
4994, п. Мирный, ул. Мира,21
4995, рп. Фролищи, Школьная ул.,3
4996, р.п. Гари, ул. Школьная,20
4997,  п. Восточный, ул. Школьная,2
4998, п. Атымья, ул. Космонавтов,5
4999, г.Екатеринбург, ул. С.Дерябиной,27а
5000, поселок Высокий Мыс, ул. Советская,19
5001, пгт. Новый Уоян, ул. Железнодорожников,1
5002, с. Сергеево, ул. Школьная,1
5003, с. Уазбахты, ул. Школьная,21
5004, с.Горный, ул.Молодежная,20
5005, д. Чура, ул. Молодежная,1
5006, пгт. Ракитное, ул. Коммунаров,11
5007, д. Новая Казмаска, ул. Сосунова,34
5008, село Тюковка, улица Первомайская,16
5009, д. Николаевка, ул. Ушакова,7
5010, г. Волжск, ул. Либкнехта,128
5011, с. Емешево, ул. Проезжая,80
5012, г. Воркута, ул. Ленинградская,25
5013, д. Новоакбулатово, ул. Дружбы,13
5014, д. Большие Шады, ул. Али Карная,7
5015, д. Большесухоязово, ул. Центральная,25
5016, д. Ирсаево, ул. Школьная,2
5017, деревня Вата, ул. Центральная,15а
5018, село Большетархово, ул. Набережная,21
5019, село Охтеурье, ул. Школьная,2
5020, деревня Чехломей, ул. Кедровая,9а
5021, г. Владимир, ул. Стрелецкая,7а
5022, с. Окино-Ключи, ул. Центральная,16
5023, г. Олонец, ул. Пушкина,6
5024, муниципальное образование г. Тула, ул. Смидович,15
5025, г. Учалы, ул. Горнозаводская,1
5026, с. Аскарово, ул. Рауфа Давлетова,6
5027, с. Старобалтачево, ул. Нагорная,8
5028, с. Большеустьикинское ул. Мира, с. Большеустьикинское ул. Мира,24
5029, с. Малояз, ул. Коммунистическая,71
5030, с. Новобелокатай, ул. Советская,2
5031, г. Янаул, ул. Тельмана,33
5032, с. Калтасы, ул. Набережная,8
5033, с. Николо-Березовка, ул. Ленина,8
5034, г. Агидель, Транспортников,10
5035, с. Акъяр, ул. Восточная,4.
5036, г. Салават, бульвар Матросова,30
5037, с. красноусольский, ул. Маяковского,13
5038, г. Октябрьский, ул.Академика Королева,
5039, с. Бакалы, ул. Красных партизан,60
5040, с. Чекмагуш, ул. Тракторная,114а
5041, с. Кармаскалы, ул. Партизанская,1
5042, с. Кушнаренково, ул. Кутуева,32
5043, п. Река Дема, ул. Оренбургская,21
5044, п. Чограйский, ул. Мира,4
5045, с. Султан, ул. Ленина,74
5046, с. Усть-Нем, ул. Тимушева,71А
5047, Городской округ город  Бор, ул. Школьная,10
5048, г. Смоленск, пр-кт Гагарина,52
5049, с. Булава, ул. Набережная,3
5050, п. Домбаровский, ул. Пушкина,20
5051, г. Белгород, ул. 8 марта,8 марта
5052, г. Новоалександровск, ул. Гагарина,388
5053, Деревня Паньшонки, ул. Труда,24
5054, д. Малахи, ул. Баранниковская,21
5055, с. Дуденево, ул. Советская,85а
5056, с. Покровское, ул. Школьная,1
5057, с. Туринская Слобода, ул. Дегтева,1
5058, г. Верхняя Пышма, ул.Мамина-Сибиряка,5
5059, п. Оус, Молодежная ул.,51
5060, п. Санкино, ул. Торговая,13
5061, Городской округ п. Уральский, ул. им Ю.А.Гагарина,213
5062, г. Екатеринбург, ул. Цвиллинга,14
5063, с. Першино, ул. Колхозная,8
5064, г. Строитель, ул. Кривошеина,7
5065, поселок Введенское, ул. Промышленная,7
5066, п. Катайга, ул. Кирова,39А
5067, с. Парбиг, ул. Кооперативная,13
5068, с. Новый Васюган, ул. Нефтеразведчиков,42
5069, п. Молодежный, ул. Школьная,4
5070, с. Вертикос, ул. Школьная,1
5071, с. Средний Васюган, ул. Молодежная,28
5072, с. Красный Яр, ул. Базарная,5
5073, с. Суйга, ул. Комарова,34
5074, с. Могочино, ул. Советская,10.
5075, п. Белый Яр, ул. Школьная,10
5076, город Яранск, улица Карла Маркса,14
5077, д. Тангатарово, ул. Школьная,22
5078, п. Оус, ул. Первомайская,29
5079, с. Верхние Киги, ул. Ибрагимова,5
5080, г. Давлеканово, ул. Красногвардейская,3б
5081, с. Бижбуляк, ул. К Иванова,17
5082, с. Ермекеево, ул. Пушкина,14
5083, с. Раевский, ул. Кирова,1б.
5084, п. Колтубановский, ул. Красноармейская,15
5085,  с. Елизаветино, ул. Центральная,28
5086, с. Новая Тепловка, ул. Нижний конец,1
5087, с. Калтыманово, ул. Школьная,6
5088, с. Тавтиманово, ул. Крупской,33
5089, с. Буздяк, ул. Заводская,11
5090, с. Старокурмашево, ул. Парковая,1
5091, Городской округ город  Кулебаки, ул. Строителей,13
5092, п. Хаапалампи, Выборгское шоссе,1В
5093, с. Елховка, ул. Центральная,37
5094, с. Елшанка Первая, ул. Кооперативная,22
5095, с. Подколки, ул. Центральная,5
5096, с. Сорочинка, ул. Центральная,6
5097, д. Первомайск, ул. Центральная,17 дробь 2
5098, д. Сарва, ул. Школьная,2
5099, с. Старокулево, ул. Молодежная,30
5100, г. Анадырь, ул. Студенческая,3
5101, п. Лесной, ул. Школьная,23
5102, п. Тейсин, ул. Карбышева,5
5103, с. Джуен, ул. Центральная,7
5104, с. Лончаково, ул. Уссурийская,12
5105, п. Алонка, ул. Сергея Лазо,1
5106, п. Солони, ул. Центральная,1
5107, п. Герби, ул. Школьная,6
5108, с. Капитоновка, ул. Центральная,34
5109, с. Бельго, ул. Школьная,1
5110, с. Соколовка, ул. Специалистов,1
5111, с. Кругликово, ул. Школьная,1
5112, с. Гвасюги, ул. Джанси Кимонко,3
5113, с. Святогорье, ул. Юбилейная,7
5114, с. Арсеньево, ул. Советская,14
5115, с. Вятское, ул. Набережная,53
5116, п. Санболи, ул. Школьная,2
5117, с. Аян, ул. Октябрьская,23
5118, с. Нелькан, ул. Лесная,1 А
5119, с. Джигда, пер. Школьный,1
5120, п. Тырма, ул. Октябрьская,12
5121, с. Согда, ул. Центральная,8
5122, п. Этыркэн, ул. Школьная,7
5123, с. Аланап, ул. Советская,4а 
5124, с. Шереметьево, ул. Школьная,5
5125, с. Котиково, ул. Коммунистическая,33 А
5126, с. Глебово, ул. Молодежная,2
5127, п. Шумный, ул. Ключевая,4
5128, с. Видное, ул. Центральная,10
5129, с. Боктор, ул. Школьная,7
5130, п. Нижнее Пронге, ул. Школьная,44
5131, с. Арка, ул. Школьная,1
5132, с. Бичевая, ул. Школьная,51
5133, с. Преображенка, ул. Мира,1
5134, п. Золотой, ул. Школьная,10
5135, п. Сукпай, ул. Зелёная,10
5136, п. Солонцовый, пер. Школьный,20
5137, рп. Среднехорский, ул. Евдокимова,6
5138, п. Катэн, ул. Набережная,13
5139, п. Херпучи, ул. Школьная,2
5140, с. Чумикан, ул. Октябрьская,24
5141, с. Удское, ул. Центральная,10
5142, с. Тугур, ул. Карпова,21
5143, с. Большие Санники, ул. Аптечная,4
5144, п. Кукан, ул. Новая,27
5145, п. Победа, ул. Комсомольская,14
5146, с. Новокуровка, ул. Школьная,9
5147, с. Троицкое, ул. Садовая,48
5148, с. Верхнее Талызино, ул. Советская,13а
5149, г. Арзамас, пр-кт Ленина,206-А
5150, г. Арзамас, ул. Нижегородская,3А
5151, с. Полётное, ул. Комсомольская,14 б
5152, п. Сидима, ул. Центральная,15
5153, с. Ачан, ул. Советская,36
5154, с. Омми, ул. Центральная,21
5155, с. Аим, ул. 40 лет Победы,40 лет Победы
5156, п. Софийск, ул. Советская,1
5157, с. Чекунда, ул. Дикопольцева,14
5158, п дробь ст Зимовье, ул. Лесная,6
5159, с. Усть-Ургал, ул. Центральная,22
5160, п дробь ст Ушман, ул. Школьная,6
5161, с. Нижние Халбы, ул. Школьная,8
5162, с. Верхний Нерген, ул. Зелёная,7
5163, с. Оремиф, пер. Школьный,2
5164, п. Пуир, ул. Школьная,5
5165, п. Новая Иня, ул. Школьная,1
5166, с. Вострецово, пер. Школьный,2
5167, п. Новое Устье, ул. Партизанская,4
5168, с. Иня, ул. Победы,27
5169, с. Неран, ул. Мира,14
5170, п. Быстринск, ул. Набережная,11
5171, с. Солонцы, ул. Школьная,11
5172, с. Калиновка, ул. Таежная,13
5173, с. Ухта, ул. Центральная,12
5174, с. Сикачи-Алян, ул. Октябрьская,1а
5175, г. Анадырь, ул. Энергетиков,15
5176, с. Рождественка, ул. 50 лет Октября,50 лет Октября
5177, п. Алтынай, ул. Ленина,96
5178, с. Ташлыкуль, ул. Молодежная,15
5179, с. Анновка, ул. Советская,15
5180, пгт. Пограничный, Школьная ул.,6
5181, с. Хороль, Дзержинского ул.,1
5182, с. Михайловка, Заводская ул.,3
5183, п. Новоуткинск, ул. Калинина,32а
5184, с. Квашнинское, ул. Ленина,49
5185, с. Старосеменкино, ул. Центральная,29
5186, с. Слакбаш, ул. К.Иванова,47
5187, д. Шаровка, ул. Школьная дом,
5188, п. Зайково, ул. Коммунирстическая,181
5189, с. Николо-Павловское, ул. Совхозная,2
5190, с. Петрокаменское, ул. Гагарина,12
5191, с. Красногвардейское, ул. Дружбы,17
5192, п. Дубовка, ул. Щербакова,30
5193, п. Возрождение, ул. Садовая,14
5194, с. Покров, ул. Ветеранов,6
5195, с. Ананье, ул. Малкина,15
5196, с. Белка, ул. Новая,1
5197, с. Толба, п. Специалистов,7а
5198, с. Пожарки, ул. Советская,1б
5199, с. Яново, ул. Садовая,25
5200, с. Камкино, ул. Почтовая,62
5201, с. Белозериха, ул. Советская,1а
5202, с. Чернуха, ул. Буренино,1
5203, г. Октябрьск, пер. Северный,14
5204, с. Алексеевка, ул. Первомайская,61
5205, пгт. Безенчук, ул. Советская,28
5206, с. Богатое, ул. Павлова,2
5207, с. Большая Глушица, ул. Кировская,23
5208, с. Большая Черниговка, микрорайон Микрорайон,22
5209, с. Елховка, ул. Советская,25
5210, г. Кинель, ул. Суворова,17
5211, с. Кинель-Черкассы, ул. Дружбы,14
5212, ж дробь д ст. Клявлино, ул. Ворошилова,85
5213, с. Красноармейское, ул. Шоссейная,24
5214, с. Красный Яр, ул. Совхозная,1А
5215, г. Нефтегорск, ул. Нефтяников,4
5216, с. Борское, ул. Первомайская,107
5217, с. Хворостянка, ул. Первомайская,3А
5218, с. Челно-Вершины, ул. Проломная,5
5219, с. Шигоны, ул. Кооперативная,17
5220, п. Ягодный, ул. Школьная,5
5221, г. Выкса, ул. Слепнева,19
5222, с. Чернореченский, ул. Победы,1А
5223, село Ярлуково, ул. Молодежная,155
5224, п. Харпичан, ул. Школьная,35
5225, г. Томск, ул. Бирюкова,22
5226, г. Выкса, ул. Красные зори,26.
5227, с. Будамша, ул. Советская,12
5228, г. Анива, ул. Пудова,22
5229, г. Анива, ул. Калинина,81
5230, г. Корсаков, ул. Краснофлотская,12
5231, г. Долинск, ул. Хабаровская,18
5232, г. Невельск, ул. Советская,43
5233, деревня Моржи, улица Мира,4
5234, г. Поронайск, ул. Театральная,22 А
5235, село Лемпино, ул. Дорожная,2
5236, поселок Салым, улица Транспортная,1
5237, поселок Салым, улица Северная,28
5238, г. Богданович, ул. Партизанская,11
5239, п. Тугтун, ул. Новая,10
5240, с. Семьяны, ул. Малова,20б
5241, п. Лысая Гора, ул. Сурская,34
5242, г. Макаров, ул. Коммунистическая,7А
5243, пгт. Тымовское, ул. Советская,18
5244, г. Кузнецк, ул. Московская,48
5245, с. Ивановское, ул. Молодежная,19
5246, с. Кетрось, ул. Новая,14
5247, с. Новое Акшино, ул. Школьная,2
5248, с. Шира, ул. Школьная,1
5249, с. Шелокша, ул. Крупнова,32
5250, с. Благодатное, ул. Петровская,1
5251, с. Князе-Волконское, ул. Никитенко,9
5252, пгт. Тымовское, ул. Кировская,70
5253, п. Рогатая Балка, ул. Первомайская,107А
5254, село Серёгово, ул. Советская,30
5255, с. Филинское, ул. Школьная,31
5256, г. Благовещенск, ул. 50 лет Октября,50 лет Октября
5257, г. Мелеуз, ул. Правды,15
5258, г. Октябрьский, ул. Северная,44
5259, Городской округ город Нефтекамск, ул. Центральная,3
5260, рп. Тумботино, ул. Пролетарская,1
5261, п. Ванино, ул. Матросова,9
5262, г. Сибай, ул. Коммунистическая,14
5263, с. Иглино, ул. Железнодорожная,10
5264, с. Мраково, ул. Худайбердина,58
5265, д. Боярка, ул. Новая,5
5266, п. Намск, ул. Школьная,19 лит. А
5267, с. Старосубхангулово, ул. Совхозная,12
5268, с. Толбазы, ул. Парковая,4.
5269, с. Федоровка, ул. Кирова,2
5270, с. Шаран, ул. Чапаева,55
5271, с. Варзи-Ятчи, ул. Байтеряково,22
5272, с. Брыкаланск, Школьный пер,47
5273, г. Вилючинск, ул. Победы,1
5274, г. Биробиджан, ул. Карла Маркса,10
5275, г. Биробиджан, ул. Шолом-Алейхема,92
5276, г. Биробиджан, ул. Строительная,19
5277, г. Биробиджан, ул. Косникова,19
5278, г. Биробиджан, ул. Пионерская,58
5279, с. Валдгейм, ул. Центральная,28
5280, п. Октябрьский, ул. Ленина,30
5281, ж дробь д_ст Леонидовка, ул. Узкоколейная,36
5282, с. Выры, ул. Железнодорожная,12
5283, с. Балаки, пер. Клубный,7А
5284, с. Ильинское, ул. Ленина,22б
5285, с. Коменки, ул. 30 лет Победы,30 лет Победы
5286, с. Октябрьское, ул. Центральная,9
5287, с. Введенское, ул. Ленина,45
5288, с. Воздвиженка, ул. Рабочий городок,22
5289, д. Лозо-Люк, ул. Молодежная,1
5290, п. Хурмули, ул. Клубная,4
5291, п. Моряк-Рыболов, ул. Пограничная,5
5292, с. Светлогорье, ул. Хомякова,4
5293, п.Жешарт, ул. Индустриальная,7
5294, г. Выкса, мкр. Центральный,11-А
5295, п. городского типа Никель, Гвардейский пр-кт,2
5296, г. Мончегорск, пр-кт Кирова,19
5297, с. Покровка, Октябрьская ул.,14
5298, г. Вологда, ул. Горького,140
5299, г. Вологда, ул. Герцена,53
5300, г. Вологда, ул. Батюшкова,2
5301, г. Вологда, ул. Ильюшина,23
5302, г. Вологда, ул. Козленская,117
5303, п. Ермаково, ул. Строителей,19
5304, г. Вологда, ул. Ярославская,26а
5305, г. Вологда, ул. Петрозаводская,24а
5306, п. Семенково, ул. Первомайская,19е
5307, г. Вологда, ул. Болонина,32
5308, г. Вологда, ул. Зосимовская,63 В
5309, д. Фленово, ул. Музейная,2
5310, г. Белозерск, ул. III Интернационала,49
5311, г. Харабали, ул. Терешковой,11
5312, ст. Шуйская, Петровское ш.,8
5313, г. Петрозаводск, ул. Балтийская,4
5314, поселок городского типа Березово, Астраханцева улица,32
5315, п. Чкалов, ул. Кирова,4
5316, г. Богданович, ул. Ленина,3
5317, г. Белинский, пл. Комсомольская,19
5318, с. Кулаково, ул. Центральная,7
5319, с. Садовое, ул. Набережная,174
5320, п. Горные Ключи, ул. 60 лет СССР,60 лет СССР
5321, г. Пенза, ул. Долгова,4а
5322, поселок Большевик, улица имени А.А. Обжерина,27
5323, село Сорвижи, Советская улица,24
5324, г. Елизово, ул. Попова,24
5325, с. Новоселки, ул. Школьная,2 А
5326, с. Рыбкино, ул. Чапаева,26
5327, город Советский, улица 50 лет Пионерии,50 лет Пионерии
5328, г. Йошкар-Ола, ул. К.Либкнехта,54
5329, с. Кавалерское, ул. Блюхера,21
5330, с. Кунарское, ул. Ленина,3
5331, Барышский район пгт. Измайлово, ул. Советская,20
5332, д. Адам, ул. Советская,18
5333, п. Намск, ул. Школьная,21
5334, д. Заречье, ул. Центральная,1
5335, с. Красная Река, ул. Советская,13
5336, с. Петропавловское, ул. Шоссейная,8
5337, г. Емва, ул. Дзержинского,66
5338, с. Чернуха, ул. Буренино,5а
5339, пгт. Старотимошкино, ул. Советская,62
5340, п. Визябож, ул. Школьная,1
5341, с. Выльгорт, пер. Школьный,4
5342, с. Выльгорт, ул. Северная,15
5343, с. Подлопатки, ул. Денисова,2
5344, с. Лесопильное, ул. Первомайская,20
5345, п. Победа, ул. Центральная,2
5346, с. Оренбургское, ул. Мира,20
5347, г. Усинск, ул. Центральная,126
5348, поселок Сивомаскинский, ул. Школьная,19
5349, Саранск, ул. Лодыгина,11
5350, с. Агзу, ул. Крючкова,1
5351, д. Польское Ардашево, ул. Центральная,22
5352, п. Новоульяновский, ул. Георгиевская,1
5353, с. Тупицыно, ул. Первомайская,2
5354, с. Черныш, пер. Школьный,8
5355, поселок при станции Посольская, Центральная улица,10
5356, г. Выкса, п. Дружба,18
5357, пгт. Сернур, ул. Конакова,40
5358, с. Накоряково, ул. Школьная,13
5359, п. Первомайский, ул. Центральная,11А
5360, пгт. Балашейка, ул. Чапаева,2 а
5361, с. Летниково, ул. Захара Вобликова,119
5362, с. Герасимовка, ул. Школьная,12
5363, г. Арсеньев, ул. О.Кошевого,3
5364, с. Северное, ул. Чапаева,29А
5365, п. Шин Мер, ул. С.М.Кекеева,14  дробь 2
5366, п. Найнтахн, ул. Центральная,26
5367, с. Виткулово, ул. Попкова,12
5368, г. Сосногорск, ул. Орджоникидзе,23
